route_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,day_type,peak_ind,average_sec,std_sec,p05_sec,p50_sec,p95_sec,ObjectId
Orange,70031,Sullivan Square,70279,Assembly,saturday,offpeak,59.34,12.91,45.65,56,74,272
Orange,70031,Sullivan Square,70279,Assembly,weekday,peak,60.14,13.31,49,56,76,273
Orange,70031,Sullivan Square,70279,Assembly,weekday,offpeak,60.18,42.69,49,56,75,274
Orange,70032,Wellington,70278,Assembly,weekday,offpeak,60.74,11.98,55,59,70,275
Orange,70032,Wellington,70278,Assembly,saturday,offpeak,60.12,9.12,55,58,70,276
Orange,70032,Wellington,70278,Assembly,weekday,peak,60.91,8.1,56,59,70,277
Orange,70032,Wellington,70278,Assembly,sunday,offpeak,61.56,8.2,55,59,79,278
Orange,70033,Wellington,70035,Malden Center,weekday,offpeak,225.8,74.47,191,207,303,279
Orange,70033,Wellington,70035,Malden Center,sunday,offpeak,220.3,47,192,208,280,280
Orange,70033,Wellington,70035,Malden Center,saturday,offpeak,219.22,38.1,191,206,285,281
Orange,70033,Wellington,70035,Malden Center,weekday,peak,223.68,53.83,191,206.5,297,282
Orange,70034,Malden Center,70032,Wellington,sunday,offpeak,245.83,111.93,174,206,474.75,283
Orange,70034,Malden Center,70032,Wellington,weekday,peak,209.79,39.58,176,200,268,284
Orange,70034,Malden Center,70032,Wellington,weekday,offpeak,213.09,50.24,175,200,280,285
Blue,70039,Government Center,70838,Bowdoin,weekday,offpeak,46.23,58.12,31,35,115,286
Orange,70034,Malden Center,70032,Wellington,saturday,offpeak,223.53,73.29,176,199,350.3,287
Orange,70035,Malden Center,70036,Oak Grove,weekday,offpeak,141.36,192.11,90,118,261,288
Orange,70035,Malden Center,70036,Oak Grove,sunday,offpeak,116.84,82.62,86,111,157.25,289
Orange,70035,Malden Center,70036,Oak Grove,saturday,offpeak,114.63,43.26,86,109,162.8,290
Orange,70035,Malden Center,70036,Oak Grove,weekday,peak,146.41,61.3,93,122,271,291
Orange,70036,Oak Grove,70034,Malden Center,saturday,offpeak,92.48,17.82,64,89,118,292
Orange,70036,Oak Grove,70034,Malden Center,weekday,peak,95.48,15.55,67,94,115,293
Orange,70036,Oak Grove,70034,Malden Center,sunday,offpeak,92.95,21.56,64,88,121,294
Orange,70036,Oak Grove,70034,Malden Center,weekday,offpeak,95.36,18.98,66,92,117,295
Blue,70038,Bowdoin,70040,Government Center,saturday,offpeak,15.83,1.93,14,16,19,296
Blue,70038,Bowdoin,70040,Government Center,weekday,offpeak,17.01,8.44,14,16,21,297
Blue,70038,Bowdoin,70040,Government Center,sunday,offpeak,15.81,1.9,14,15,19.25,298
Blue,70038,Bowdoin,70040,Government Center,weekday,peak,16.89,4.29,14,16,22,299
Blue,70039,Government Center,70838,Bowdoin,saturday,offpeak,35.22,14.19,31,34,40,300
Blue,70039,Government Center,70838,Bowdoin,weekday,peak,51.26,30.14,32,37,113,301
Blue,70039,Government Center,70838,Bowdoin,sunday,offpeak,35.34,11.31,30,34,41,302
Blue,70040,Government Center,70042,State Street,saturday,offpeak,33.5,2.44,30,33,38,303
Blue,70040,Government Center,70042,State Street,weekday,offpeak,34.69,5.48,31,34,39,304
Blue,70040,Government Center,70042,State Street,sunday,offpeak,33.31,2.89,30,33,37,305
Blue,70040,Government Center,70042,State Street,weekday,peak,35.71,7.94,31,34,42.9,306
Blue,70041,State Street,70039,Government Center,saturday,offpeak,33.43,2.86,29,33,38,307
Blue,70041,State Street,70039,Government Center,weekday,peak,36.63,9.88,31,35,47,308
Blue,70041,State Street,70039,Government Center,weekday,offpeak,36.24,10.76,31,34,44,309
Blue,70041,State Street,70039,Government Center,sunday,offpeak,33.64,4.75,29,33,39,310
Blue,70042,State Street,70044,Aquarium,sunday,offpeak,29.61,3.19,26,29,36,311
Blue,70042,State Street,70044,Aquarium,saturday,offpeak,29.63,3.29,26,29,36,312
Blue,70042,State Street,70044,Aquarium,weekday,offpeak,31.5,7.95,26,31,38,313
Blue,70042,State Street,70044,Aquarium,weekday,peak,31.64,4.77,26,31,38,314
Blue,70043,Aquarium,70041,State Street,weekday,peak,31.37,6.12,28,30,38,315
Blue,70043,Aquarium,70041,State Street,weekday,offpeak,31.11,6.49,28,30,36,316
Blue,70043,Aquarium,70041,State Street,saturday,offpeak,30.32,2.3,28,30,35,317
Blue,70043,Aquarium,70041,State Street,sunday,offpeak,30.12,2.13,28,30,34,318
Blue,70044,Aquarium,70046,Maverick,sunday,offpeak,110.2,20.58,101,107,123,319
Blue,70044,Aquarium,70046,Maverick,saturday,offpeak,108.72,12.63,101,107,118,320
Blue,70044,Aquarium,70046,Maverick,weekday,offpeak,113.19,22.59,102,109,134,321
Blue,70044,Aquarium,70046,Maverick,weekday,peak,111.95,17.02,102,110,124,322
Blue,70045,Maverick,70043,Aquarium,weekday,offpeak,90.66,12.7,81,88,106,323
Blue,70045,Maverick,70043,Aquarium,sunday,offpeak,91.34,25.95,80,87,108.1,324
Blue,70045,Maverick,70043,Aquarium,weekday,peak,90.55,16.09,81,88,102,325
Blue,70045,Maverick,70043,Aquarium,saturday,offpeak,88.15,10.38,81,87,97,326
Blue,70046,Maverick,70048,Airport,weekday,offpeak,79.76,11.62,69,79,94,327
Blue,70046,Maverick,70048,Airport,sunday,offpeak,77.01,8.98,67,77,86,328
Blue,70046,Maverick,70048,Airport,weekday,peak,80.88,11.05,71,79,95,329
Blue,70046,Maverick,70048,Airport,saturday,offpeak,76.78,6.86,68,77,86,330
Blue,70047,Airport,70045,Maverick,saturday,offpeak,118.75,15.82,96,119,140.7,331
Blue,70047,Airport,70045,Maverick,weekday,offpeak,123.96,20.81,102,121,154,332
Blue,70047,Airport,70045,Maverick,sunday,offpeak,121.33,17.34,98,121,150,333
Blue,70047,Airport,70045,Maverick,weekday,peak,125.14,20.43,103,122,158,334
Blue,70048,Airport,70050,Wood Island,weekday,offpeak,60.31,8.57,54,59,69,335
Blue,70048,Airport,70050,Wood Island,sunday,offpeak,58.06,5.86,53,58,63,336
Blue,70048,Airport,70050,Wood Island,weekday,peak,60.61,6.92,55,59,70,337
Blue,70048,Airport,70050,Wood Island,saturday,offpeak,58.13,3.93,53,58,64,338
Blue,70049,Wood Island,70047,Airport,weekday,peak,61.35,12.11,53,59,74,339
Blue,70049,Wood Island,70047,Airport,sunday,offpeak,57.73,4.79,52,57,67,340
Blue,70049,Wood Island,70047,Airport,saturday,offpeak,57.38,3.95,52,57,65,341
Blue,70049,Wood Island,70047,Airport,weekday,offpeak,61.04,10.46,53,59,73,342
Blue,70050,Wood Island,70052,Orient Heights,sunday,offpeak,117.22,17.27,103,113,144,343
Blue,70050,Wood Island,70052,Orient Heights,saturday,offpeak,118.68,24.24,103,114,146,344
Blue,70050,Wood Island,70052,Orient Heights,weekday,peak,128.93,29.64,107,119,177.25,345
