reporting_fiscal_year,reporting_as_of_date,category,subcategory,month_to_date_actual_amount,month_to_date_budgeted_amount,year_to_date_actual_amount,year_to_date_budgeted_amount,ObjectId
2019,2019/03/31 04:00:00+00,Revenue,Operating Revenues,63118290.72,65135956.69,564680316.6,586084386,88
2019,2019/02/28 05:00:00+00,Expenses,Debt Service,39783096.25,41071752.5,319135563,328574020.1,89
2019,2019/02/28 05:00:00+00,Revenue,Non-Operating Revenues,102534982.4,102343318.4,834725152.8,821883176.6,90
2019,2019/02/28 05:00:00+00,Expenses,Operating Expenses,126494898.4,126053095.4,1041100426,1055000911,91
2019,2019/02/28 05:00:00+00,Revenue,Operating Revenues,58010132.81,58657110.39,501562025.9,520948429.3,92
2019,2019/01/31 05:00:00+00,Expenses,Debt Service,40038144.41,41071752.5,279352466.8,287502267.5,93
2019,2019/01/31 05:00:00+00,Revenue,Non-Operating Revenues,105500392,102312724.2,732190170.4,719539858.3,94
2019,2019/01/31 05:00:00+00,Expenses,Operating Expenses,134026169.9,137655292.1,914605527.4,928947815.8,95
2019,2019/01/31 05:00:00+00,Revenue,Operating Revenues,61273070.09,63448194.61,443551893,462291318.9,96
2019,2018/12/31 05:00:00+00,Expenses,Debt Service,39707013.65,41071752.5,239314322.4,246430515,97
2019,2018/12/31 05:00:00+00,Revenue,Non-Operating Revenues,106045167.8,103675125.2,626689778.3,617227134,98
2019,2018/12/31 05:00:00+00,Expenses,Operating Expenses,123608965.6,131183810.9,780579357.5,791292523.6,99
2019,2018/12/31 05:00:00+00,Revenue,Operating Revenues,60365272.67,63237973.75,382278823,398843124.3,100
2019,2018/11/30 05:00:00+00,Expenses,Debt Service,39327143.43,41071752.5,199607308.7,205358762.6,101
2019,2018/11/30 05:00:00+00,Revenue,Non-Operating Revenues,102796793.5,102354619.3,520644610.6,513552008.8,102
2019,2018/11/30 05:00:00+00,Expenses,Operating Expenses,126962546.6,132174890.5,656970391.9,660108712.8,103
2019,2018/11/30 05:00:00+00,Revenue,Operating Revenues,63064724,65426067.95,321913550.4,335605150.6,104
2019,2018/10/31 04:00:00+00,Expenses,Debt Service,38402870.25,41071752.5,160280165.3,164287010,105
2019,2018/10/31 04:00:00+00,Revenue,Non-Operating Revenues,102502583.7,102366502.1,417847817,411197389.5,106
2019,2018/10/31 04:00:00+00,Expenses,Operating Expenses,137270393.1,134292058.1,530007845.2,527933822.2,107
2019,2018/10/31 04:00:00+00,Revenue,Operating Revenues,67655014.42,69320905,258848826.3,270179082.6,108
2019,2018/09/30 04:00:00+00,Expenses,Debt Service,40276865.05,41071752.5,121877295.1,123215257.5,109
2019,2018/09/30 04:00:00+00,Revenue,Non-Operating Revenues,104922841,104121353.8,315345233.3,308830887.5,110
2019,2018/09/30 04:00:00+00,Expenses,Operating Expenses,125166986,126339537.6,392737452.2,393641764.1,111
2019,2018/09/30 04:00:00+00,Revenue,Operating Revenues,65443224.52,68391780.13,191193811.9,200858177.6,112
2019,2018/08/31 04:00:00+00,Expenses,Debt Service,39228498.78,41071752.5,81600430,82143505.02,113
2019,2018/08/31 04:00:00+00,Revenue,Non-Operating Revenues,103736504.9,102368336.8,210422392.3,204709533.7,114
2017,2017/06/30 04:00:00+00,Revenue,Operating Revenues,63146168.94,62822932.16,715641907,722658504,115
2017,2017/05/31 04:00:00+00,Expenses,Debt Service,39773933.63,38191173,386967447.8,419836527,116
2017,2017/05/31 04:00:00+00,Revenue,Non-Operating Revenues,105197364.3,102644818.3,1099520648,1115421935,117
2017,2017/05/31 04:00:00+00,Expenses,Operating Expenses,122839291.9,133052446,1395476476,1431101509,118
2017,2017/05/31 04:00:00+00,Revenue,Operating Revenues,61335112.43,61578955.26,652495738,659835571.9,119
2017,2017/04/30 04:00:00+00,Expenses,Debt Service,37493202.26,38191172,347193514.1,381645354,120
2017,2017/04/30 04:00:00+00,Revenue,Non-Operating Revenues,89653692.82,102636811.3,994323283.2,1012777116,121
2017,2017/04/30 04:00:00+00,Expenses,Operating Expenses,118392336.7,122706210.3,1272637185,1298049063,122
2017,2017/04/30 04:00:00+00,Revenue,Operating Revenues,60251099.94,61079997.07,591160625.6,598256616.6,123
2017,2017/03/31 04:00:00+00,Expenses,Debt Service,25940307.75,38306170,309700311.9,343454182,124
2017,2017/03/31 04:00:00+00,Revenue,Non-Operating Revenues,95832771.32,103411811.3,904669590.3,910140305,125
2017,2017/03/31 04:00:00+00,Expenses,Operating Expenses,139659107.8,134600114.4,1154244848,1175342853,126
2017,2017/03/31 04:00:00+00,Revenue,Operating Revenues,58438348.46,60732271.36,530909525.6,537176619.6,127
2017,2017/02/28 05:00:00+00,Expenses,Debt Service,34543800.96,38245466,283760004.1,305148012,128
2017,2017/02/28 05:00:00+00,Revenue,Non-Operating Revenues,98473392.55,100636811.3,808836819,806728493.7,129
2017,2017/02/28 05:00:00+00,Expenses,Operating Expenses,116372621.3,125470407.6,1014587513,1040742739,130
2017,2017/02/28 05:00:00+00,Revenue,Operating Revenues,53510950.22,54940747.79,472471177.2,476444348.1,131
2017,2017/01/31 05:00:00+00,Expenses,Debt Service,35344181.04,38245465,249216203.2,266902546,132
2017,2017/01/31 05:00:00+00,Revenue,Non-Operating Revenues,106434596.1,100636811.3,710363426.5,706091682.4,133
2017,2017/01/31 05:00:00+00,Expenses,Operating Expenses,124585015.1,135219625.1,898214892,915272331.1,134
2017,2017/01/31 05:00:00+00,Revenue,Operating Revenues,57845260.42,57756232.34,418960226.9,421503600.4,135
2017,2016/12/31 05:00:00+00,Expenses,Debt Service,36795368.06,38360465,213872022.1,228657081,136
2017,2016/12/31 05:00:00+00,Revenue,Non-Operating Revenues,94079611.34,101411811.3,603928830.4,605454871,137
2017,2016/12/31 05:00:00+00,Expenses,Operating Expenses,130332060.2,131950406.1,773629876.9,780052706,138
2017,2016/12/31 05:00:00+00,Revenue,Operating Revenues,58016974.63,57127704.51,361114966.6,363747368.1,139
2017,2016/11/30 05:00:00+00,Expenses,Debt Service,34202810.08,38245465,177076654.1,190296616,140
2017,2016/11/30 05:00:00+00,Revenue,Non-Operating Revenues,107217816.6,100636811.3,509849219,504043059.6,141
2017,2016/11/30 05:00:00+00,Expenses,Operating Expenses,127055843.8,131052215.8,643297816.7,648102299.9,142
